strike,ce_oi,ce_coi_day,pe_oi,pe_coi_day,timestamp,spot_price
24200,97825,14611,2566,-175,2026-09-19 00:36:25,23346.4
24250,20010,-3443,379,-9,2026-09-19 00:36:25,23346.4
24300,63000,4411,1450,-46,2026-09-19 00:36:25,23346.4
24350,18463,2496,225,20,2026-09-19 00:36:25,23346.4
24400,44054,3219,1742,-57,2026-09-19 00:36:25,23346.4
24450,9727,1097,190,-1,2026-09-19 00:36:25,23346.4
24500,154620,-6149,4230,-228,2026-09-19 00:36:25,23346.4
24550,14001,821,367,-23,2026-09-19 00:36:25,23346.4
24600,35692,2168,710,-18,2026-09-19 00:36:25,23346.4
24650,6399,76,78,-5,2026-09-19 00:36:25,23346.4
24700,34998,-2155,89,-9,2026-09-19 00:36:25,23346.4
24750,2921,823,0,0,2026-09-19 00:36:25,23346.4
24800,42298,7483,355,-10,2026-09-19 00:36:25,23346.4
24850,7903,2058,0,0,2026-09-19 00:36:25,23346.4
24900,17229,-5866,146,-71,2026-09-19 00:36:25,23346.4
24950,3072,-639,0,0,2026-09-19 00:36:25,23346.4
25000,68387,3645,1012,-62,2026-09-19 00:36:25,23346.4
25050,2723,-1360,1,0,2026-09-19 00:36:25,23346.4
25100,13486,-1397,16,-1,2026-09-19 00:36:25,23346.4
25150,2943,219,5,0,2026-09-19 00:36:25,23346.4
25200,5407,-4310,60,-4,2026-09-19 00:36:25,23346.4
25250,2485,-162,8,0,2026-09-19 00:36:25,23346.4
25300,2705,-257,9,0,2026-09-19 00:36:25,23346.4
25350,292,10,0,0,2026-09-19 00:36:25,23346.4
25400,2569,-537,31,0,2026-09-19 00:36:25,23346.4
25450,333,-16,8,0,2026-09-19 00:36:25,23346.4
25500,14037,-286,870,-77,2026-09-19 00:36:25,23346.4
25550,400,-154,1,0,2026-09-19 00:36:25,23346.4
25600,1911,512,3,-1,2026-09-19 00:36:25,23346.4
25650,425,13,8,0,2026-09-19 00:36:25,23346.4
25700,2655,1024,0,0,2026-09-19 00:36:25,23346.4
25750,745,464,0,0,2026-09-19 00:36:25,23346.4
25800,13311,-125,7,-2,2026-09-19 00:36:25,23346.4
25850,564,-8,0,0,2026-09-19 00:36:25,23346.4
25900,2126,30,0,0,2026-09-19 00:36:25,23346.4
25950,421,-36,0,0,2026-09-19 00:36:25,23346.4
26000,22283,-719,1057,-10,2026-09-19 00:36:25,23346.4
26050,1352,53,0,0,2026-09-19 00:36:25,23346.4
26100,9234,2027,0,0,2026-09-19 00:36:25,23346.4
21350,0,0,97418,9090,2026-09-19 00:36:31,23346.4
21400,0,0,56985,13922,2026-09-19 00:36:31,23346.4
21450,0,0,9629,4113,2026-09-19 00:36:31,23346.4
21500,0,0,71069,20416,2026-09-19 00:36:31,23346.4
21550,0,0,3794,-1084,2026-09-19 00:36:31,23346.4
21600,0,0,7655,-664,2026-09-19 00:36:31,23346.4
21650,0,0,14412,-5083,2026-09-19 00:36:31,23346.4
21700,24,0,44207,-29527,2026-09-19 00:36:31,23346.4
21750,0,0,5878,-854,2026-09-19 00:36:31,23346.4
21800,1,0,47518,3310,2026-09-19 00:36:31,23346.4
21850,0,0,6749,-293,2026-09-19 00:36:31,23346.4
21900,0,0,29561,-10500,2026-09-19 00:36:31,23346.4
21950,0,0,7906,-552,2026-09-19 00:36:31,23346.4
22000,346,24,165254,-2707,2026-09-19 00:36:31,23346.4
22050,5,0,11045,1891,2026-09-19 00:36:31,23346.4
22100,18,0,36435,7181,2026-09-19 00:36:31,23346.4
22150,4,0,17679,7686,2026-09-19 00:36:31,23346.4
22200,41,0,77030,18595,2026-09-19 00:36:31,23346.4
22250,8,0,15764,3820,2026-09-19 00:36:31,23346.4
22300,129,-6,79196,10678,2026-09-19 00:36:31,23346.4
22350,11,5,25312,-1141,2026-09-19 00:36:31,23346.4
22400,38,-5,65268,16396,2026-09-19 00:36:31,23346.4
22450,7,0,29996,16510,2026-09-19 00:36:31,23346.4
22500,1293,-99,138808,9944,2026-09-19 00:36:31,23346.4
22550,42,1,27813,11260,2026-09-19 00:36:31,23346.4
22600,627,-49,80699,8987,2026-09-19 00:36:31,23346.4
22650,261,4,26851,-7243,2026-09-19 00:36:31,23346.4
22700,808,-106,97030,4546,2026-09-19 00:36:31,23346.4
22750,529,28,63147,31086,2026-09-19 00:36:31,23346.4
22800,1835,243,110896,28096,2026-09-19 00:36:31,23346.4
22850,814,-72,48771,21055,2026-09-19 00:36:31,23346.4
22900,2101,175,76505,21241,2026-09-19 00:36:31,23346.4
22950,1346,262,56806,19718,2026-09-19 00:36:31,23346.4
23000,9566,-4374,169141,20638,2026-09-19 00:36:31,23346.4
23050,2370,-364,44163,-4114,2026-09-19 00:36:31,23346.4
23100,9145,-3513,98921,16436,2026-09-19 00:36:31,23346.4
23150,5379,-2435,60052,13578,2026-09-19 00:36:31,23346.4
23200,41008,-10176,147721,13890,2026-09-19 00:36:31,23346.4
23250,27873,-19579,99857,28054,2026-09-19 00:36:31,23346.4
23300,114149,12541,195178,90670,2026-09-19 00:36:31,23346.4
23350,76240,22675,79124,54729,2026-09-19 00:36:31,23346.4
23400,134896,34540,73651,27807,2026-09-19 00:36:31,23346.4
23450,59383,5887,10717,1280,2026-09-19 00:36:31,23346.4
23500,141941,3726,37004,2366,2026-09-19 00:36:31,23346.4
23550,56236,6188,4039,-305,2026-09-19 00:36:31,23346.4
23600,121677,19100,11381,-159,2026-09-19 00:36:31,23346.4
23650,62180,14840,3024,-474,2026-09-19 00:36:31,23346.4
23700,146088,29761,8258,-2637,2026-09-19 00:36:31,23346.4
23750,66211,7721,1564,-106,2026-09-19 00:36:31,23346.4
23800,126375,-2361,7058,-394,2026-09-19 00:36:31,23346.4
23850,45795,2444,1118,51,2026-09-19 00:36:31,23346.4
23900,89912,-14776,6721,-221,2026-09-19 00:36:31,23346.4
23950,36433,3896,1154,-46,2026-09-19 00:36:31,23346.4
24000,177824,19211,14177,-1883,2026-09-19 00:36:31,23346.4
24050,27715,-188,370,-6,2026-09-19 00:36:31,23346.4
24100,79443,25878,2124,-64,2026-09-19 00:36:31,23346.4
24150,37434,9645,371,-17,2026-09-19 00:36:31,23346.4
24200,97825,14611,2566,-175,2026-09-19 00:36:31,23346.4
24250,20010,-3443,379,-9,2026-09-19 00:36:31,23346.4
24300,63000,4411,1450,-46,2026-09-19 00:36:31,23346.4
24350,18463,2496,225,20,2026-09-19 00:36:31,23346.4
24400,44054,3219,1742,-57,2026-09-19 00:36:31,23346.4
24450,9727,1097,190,-1,2026-09-19 00:36:31,23346.4
24500,154620,-6149,4230,-228,2026-09-19 00:36:31,23346.4
24550,14001,821,367,-23,2026-09-19 00:36:31,23346.4
24600,35692,2168,710,-18,2026-09-19 00:36:31,23346.4
24650,6399,76,78,-5,2026-09-19 00:36:31,23346.4
24700,34998,-2155,89,-9,2026-09-19 00:36:31,23346.4
24750,2921,823,0,0,2026-09-19 00:36:31,23346.4
24800,42298,7483,355,-10,2026-09-19 00:36:31,23346.4
24850,7903,2058,0,0,2026-09-19 00:36:31,23346.4
24900,17229,-5866,146,-71,2026-09-19 00:36:31,23346.4
24950,3072,-639,0,0,2026-09-19 00:36:31,23346.4
25000,68387,3645,1012,-62,2026-09-19 00:36:31,23346.4
25050,2723,-1360,1,0,2026-09-19 00:36:31,23346.4
25100,13486,-1397,16,-1,2026-09-19 00:36:31,23346.4
25150,2943,219,5,0,2026-09-19 00:36:31,23346.4
25200,5407,-4310,60,-4,2026-09-19 00:36:31,23346.4
25250,2485,-162,8,0,2026-09-19 00:36:31,23346.4
25300,2705,-257,9,0,2026-09-19 00:36:31,23346.4
25350,292,10,0,0,2026-09-19 00:36:31,23346.4
25400,2569,-537,31,0,2026-09-19 00:36:31,23346.4
25450,333,-16,8,0,2026-09-19 00:36:31,23346.4
25500,14037,-286,870,-77,2026-09-19 00:36:31,23346.4
25550,400,-154,1,0,2026-09-19 00:36:31,23346.4
25600,1911,512,3,-1,2026-09-19 00:36:31,23346.4
25650,425,13,8,0,2026-09-19 00:36:31,23346.4
25700,2655,1024,0,0,2026-09-19 00:36:31,23346.4
25750,745,464,0,0,2026-09-19 00:36:31,23346.4
25800,13311,-125,7,-2,2026-09-19 00:36:31,23346.4
25850,564,-8,0,0,2026-09-19 00:36:31,23346.4
25900,2126,30,0,0,2026-09-19 00:36:31,23346.4
25950,421,-36,0,0,2026-09-19 00:36:31,23346.4
26000,22283,-719,1057,-10,2026-09-19 00:36:31,23346.4
26050,1352,53,0,0,2026-09-19 00:36:31,23346.4
26100,9234,2027,0,0,2026-09-19 00:36:31,23346.4
21350,0,0,97418,9090,2026-09-19 00:39:15,23346.4
21400,0,0,56985,13922,2026-09-19 00:39:15,23346.4
21450,0,0,9629,4113,2026-09-19 00:39:15,23346.4
21500,0,0,71069,20416,2026-09-19 00:39:15,23346.4
21550,0,0,3794,-1084,2026-09-19 00:39:15,23346.4
21600,0,0,7655,-664,2026-09-19 00:39:15,23346.4
21650,0,0,14412,-5083,2026-09-19 00:39:15,23346.4
21700,24,0,44207,-29527,2026-09-19 00:39:15,23346.4
21750,0,0,5878,-854,2026-09-19 00:39:15,23346.4
21800,1,0,47518,3310,2026-09-19 00:39:15,23346.4
21850,0,0,6749,-293,2026-09-19 00:39:15,23346.4
21900,0,0,29561,-10500,2026-09-19 00:39:15,23346.4
21950,0,0,7906,-552,2026-09-19 00:39:15,23346.4
22000,346,24,165254,-2707,2026-09-19 00:39:15,23346.4
22050,5,0,11045,1891,2026-09-19 00:39:15,23346.4
22100,18,0,36435,7181,2026-09-19 00:39:15,23346.4
22150,4,0,17679,7686,2026-09-19 00:39:15,23346.4
22200,41,0,77030,18595,2026-09-19 00:39:15,23346.4
22250,8,0,15764,3820,2026-09-19 00:39:15,23346.4
22300,129,-6,79196,10678,2026-09-19 00:39:15,23346.4
22350,11,5,25312,-1141,2026-09-19 00:39:15,23346.4
22400,38,-5,65268,16396,2026-09-19 00:39:15,23346.4
22450,7,0,29996,16510,2026-09-19 00:39:15,23346.4
22500,1293,-99,138808,9944,2026-09-19 00:39:15,23346.4
22550,42,1,27813,11260,2026-09-19 00:39:15,23346.4
22600,627,-49,80699,8987,2026-09-19 00:39:15,23346.4
22650,261,4,26851,-7243,2026-09-19 00:39:15,23346.4
22700,808,-106,97030,4546,2026-09-19 00:39:15,23346.4
22750,529,28,63147,31086,2026-09-19 00:39:15,23346.4
22800,1835,243,110896,28096,2026-09-19 00:39:15,23346.4
22850,814,-72,48771,21055,2026-09-19 00:39:15,23346.4
22900,2101,175,76505,21241,2026-09-19 00:39:15,23346.4
22950,1346,262,56806,19718,2026-09-19 00:39:15,23346.4
23000,9566,-4374,169141,20638,2026-09-19 00:39:15,23346.4
23050,2370,-364,44163,-4114,2026-09-19 00:39:15,23346.4
23100,9145,-3513,98921,16436,2026-09-19 00:39:15,23346.4
23150,5379,-2435,60052,13578,2026-09-19 00:39:15,23346.4
23200,41008,-10176,147721,13890,2026-09-19 00:39:15,23346.4
23250,27873,-19579,99857,28054,2026-09-19 00:39:15,23346.4
23300,114149,12541,195178,90670,2026-09-19 00:39:15,23346.4
23350,76240,22675,79124,54729,2026-09-19 00:39:15,23346.4
23400,134896,34540,73651,27807,2026-09-19 00:39:15,23346.4
23450,59383,5887,10717,1280,2026-09-19 00:39:15,23346.4
23500,141941,3726,37004,2366,2026-09-19 00:39:15,23346.4
23550,56236,6188,4039,-305,2026-09-19 00:39:15,23346.4
23600,121677,19100,11381,-159,2026-09-19 00:39:15,23346.4
23650,62180,14840,3024,-474,2026-09-19 00:39:15,23346.4
23700,146088,29761,8258,-2637,2026-09-19 00:39:15,23346.4
23750,66211,7721,1564,-106,2026-09-19 00:39:15,23346.4
23800,126375,-2361,7058,-394,2026-09-19 00:39:15,23346.4
23850,45795,2444,1118,51,2026-09-19 00:39:15,23346.4
23900,89912,-14776,6721,-221,2026-09-19 00:39:15,23346.4
23950,36433,3896,1154,-46,2026-09-19 00:39:15,23346.4
24000,177824,19211,14177,-1883,2026-09-19 00:39:15,23346.4
24050,27715,-188,370,-6,2026-09-19 00:39:15,23346.4
24100,79443,25878,2124,-64,2026-09-19 00:39:15,23346.4
24150,37434,9645,371,-17,2026-09-19 00:39:15,23346.4
24200,97825,14611,2566,-175,2026-09-19 00:39:15,23346.4
24250,20010,-3443,379,-9,2026-09-19 00:39:15,23346.4
24300,63000,4411,1450,-46,2026-09-19 00:39:15,23346.4
24350,18463,2496,225,20,2026-09-19 00:39:15,23346.4
24400,44054,3219,1742,-57,2026-09-19 00:39:15,23346.4
24450,9727,1097,190,-1,2026-09-19 00:39:15,23346.4
24500,154620,-6149,4230,-228,2026-09-19 00:39:15,23346.4
24550,14001,821,367,-23,2026-09-19 00:39:15,23346.4
24600,35692,2168,710,-18,2026-09-19 00:39:15,23346.4
24650,6399,76,78,-5,2026-09-19 00:39:15,23346.4
24700,34998,-2155,89,-9,2026-09-19 00:39:15,23346.4
24750,2921,823,0,0,2026-09-19 00:39:15,23346.4
24800,42298,7483,355,-10,2026-09-19 00:39:15,23346.4
24850,7903,2058,0,0,2026-09-19 00:39:15,23346.4
24900,17229,-5866,146,-71,2026-09-19 00:39:15,23346.4
24950,3072,-639,0,0,2026-09-19 00:39:15,23346.4
25000,68387,3645,1012,-62,2026-09-19 00:39:15,23346.4
25050,2723,-1360,1,0,2026-09-19 00:39:15,23346.4
25100,13486,-1397,16,-1,2026-09-19 00:39:15,23346.4
25150,2943,219,5,0,2026-09-19 00:39:15,23346.4
25200,5407,-4310,60,-4,2026-09-19 00:39:15,23346.4
25250,2485,-162,8,0,2026-09-19 00:39:15,23346.4
25300,2705,-257,9,0,2026-09-19 00:39:15,23346.4
25350,292,10,0,0,2026-09-19 00:39:15,23346.4
25400,2569,-537,31,0,2026-09-19 00:39:15,23346.4
25450,333,-16,8,0,2026-09-19 00:39:15,23346.4
25500,14037,-286,870,-77,2026-09-19 00:39:15,23346.4
25550,400,-154,1,0,2026-09-19 00:39:15,23346.4
25600,1911,512,3,-1,2026-09-19 00:39:15,23346.4
25650,425,13,8,0,2026-09-19 00:39:15,23346.4
25700,2655,1024,0,0,2026-09-19 00:39:15,23346.4
25750,745,464,0,0,2026-09-19 00:39:15,23346.4
25800,13311,-125,7,-2,2026-09-19 00:39:15,23346.4
25850,564,-8,0,0,2026-09-19 00:39:15,23346.4
25900,2126,30,0,0,2026-09-19 00:39:15,23346.4
25950,421,-36,0,0,2026-09-19 00:39:15,23346.4
26000,22283,-719,1057,-10,2026-09-19 00:39:15,23346.4
26050,1352,53,0,0,2026-09-19 00:39:15,23346.4
26100,9234,2027,0,0,2026-09-19 00:39:15,23346.4
21350,0,0,97418,9090,2026-09-19 00:39:29,23346.4
21400,0,0,56985,13922,2026-09-19 00:39:29,23346.4
21450,0,0,9629,4113,2026-09-19 00:39:29,23346.4
21500,0,0,71069,20416,2026-09-19 00:39:29,23346.4
21550,0,0,3794,-1084,2026-09-19 00:39:29,23346.4
21600,0,0,7655,-664,2026-09-19 00:39:29,23346.4
21650,0,0,14412,-5083,2026-09-19 00:39:29,23346.4
21700,24,0,44207,-29527,2026-09-19 00:39:29,23346.4
21750,0,0,5878,-854,2026-09-19 00:39:29,23346.4
21800,1,0,47518,3310,2026-09-19 00:39:29,23346.4
21850,0,0,6749,-293,2026-09-19 00:39:29,23346.4
21900,0,0,29561,-10500,2026-09-19 00:39:29,23346.4
21950,0,0,7906,-552,2026-09-19 00:39:29,23346.4
22000,346,24,165254,-2707,2026-09-19 00:39:29,23346.4
22050,5,0,11045,1891,2026-09-19 00:39:29,23346.4
22100,18,0,36435,7181,2026-09-19 00:39:29,23346.4
22150,4,0,17679,7686,2026-09-19 00:39:29,23346.4
22200,41,0,77030,18595,2026-09-19 00:39:29,23346.4
22250,8,0,15764,3820,2026-09-19 00:39:29,23346.4
22300,129,-6,79196,10678,2026-09-19 00:39:29,23346.4
22350,11,5,25312,-1141,2026-09-19 00:39:29,23346.4
22400,38,-5,65268,16396,2026-09-19 00:39:29,23346.4
22450,7,0,29996,16510,2026-09-19 00:39:29,23346.4
22500,1293,-99,138808,9944,2026-09-19 00:39:29,23346.4
22550,42,1,27813,11260,2026-09-19 00:39:29,23346.4
22600,627,-49,80699,8987,2026-09-19 00:39:29,23346.4
22650,261,4,26851,-7243,2026-09-19 00:39:29,23346.4
22700,808,-106,97030,4546,2026-09-19 00:39:29,23346.4
22750,529,28,63147,31086,2026-09-19 00:39:29,23346.4
22800,1835,243,110896,28096,2026-09-19 00:39:29,23346.4
22850,814,-72,48771,21055,2026-09-19 00:39:29,23346.4
22900,2101,175,76505,21241,2026-09-19 00:39:29,23346.4
22950,1346,262,56806,19718,2026-09-19 00:39:29,23346.4
23000,9566,-4374,169141,20638,2026-09-19 00:39:29,23346.4
23050,2370,-364,44163,-4114,2026-09-19 00:39:29,23346.4
23100,9145,-3513,98921,16436,2026-09-19 00:39:29,23346.4
23150,5379,-2435,60052,13578,2026-09-19 00:39:29,23346.4
23200,41008,-10176,147721,13890,2026-09-19 00:39:29,23346.4
23250,27873,-19579,99857,28054,2026-09-19 00:39:29,23346.4
23300,114149,12541,195178,90670,2026-09-19 00:39:29,23346.4
23350,76240,22675,79124,54729,2026-09-19 00:39:29,23346.4
23400,134896,34540,73651,27807,2026-09-19 00:39:29,23346.4
23450,59383,5887,10717,1280,2026-09-19 00:39:29,23346.4
23500,141941,3726,37004,2366,2026-09-19 00:39:29,23346.4
23550,56236,6188,4039,-305,2026-09-19 00:39:29,23346.4
23600,121677,19100,11381,-159,2026-09-19 00:39:29,23346.4
23650,62180,14840,3024,-474,2026-09-19 00:39:29,23346.4
23700,146088,29761,8258,-2637,2026-09-19 00:39:29,23346.4
23750,66211,7721,1564,-106,2026-09-19 00:39:29,23346.4
23800,126375,-2361,7058,-394,2026-09-19 00:39:29,23346.4
23850,45795,2444,1118,51,2026-09-19 00:39:29,23346.4
23900,89912,-14776,6721,-221,2026-09-19 00:39:29,23346.4
23950,36433,3896,1154,-46,2026-09-19 00:39:29,23346.4
24000,177824,19211,14177,-1883,2026-09-19 00:39:29,23346.4
24050,27715,-188,370,-6,2026-09-19 00:39:29,23346.4
24100,79443,25878,2124,-64,2026-09-19 00:39:29,23346.4
24150,37434,9645,371,-17,2026-09-19 00:39:29,23346.4
24200,97825,14611,2566,-175,2026-09-19 00:39:29,23346.4
24250,20010,-3443,379,-9,2026-09-19 00:39:29,23346.4
24300,63000,4411,1450,-46,2026-09-19 00:39:29,23346.4
24350,18463,2496,225,20,2026-09-19 00:39:29,23346.4
24400,44054,3219,1742,-57,2026-09-19 00:39:29,23346.4
24450,9727,1097,190,-1,2026-09-19 00:39:29,23346.4
24500,154620,-6149,4230,-228,2026-09-19 00:39:29,23346.4
24550,14001,821,367,-23,2026-09-19 00:39:29,23346.4
24600,35692,2168,710,-18,2026-09-19 00:39:29,23346.4
24650,6399,76,78,-5,2026-09-19 00:39:29,23346.4
24700,34998,-2155,89,-9,2026-09-19 00:39:29,23346.4
24750,2921,823,0,0,2026-09-19 00:39:29,23346.4
24800,42298,7483,355,-10,2026-09-19 00:39:29,23346.4
24850,7903,2058,0,0,2026-09-19 00:39:29,23346.4
24900,17229,-5866,146,-71,2026-09-19 00:39:29,23346.4
24950,3072,-639,0,0,2026-09-19 00:39:29,23346.4
25000,68387,3645,1012,-62,2026-09-19 00:39:29,23346.4
25050,2723,-1360,1,0,2026-09-19 00:39:29,23346.4
25100,13486,-1397,16,-1,2026-09-19 00:39:29,23346.4
25150,2943,219,5,0,2026-09-19 00:39:29,23346.4
25200,5407,-4310,60,-4,2026-09-19 00:39:29,23346.4
25250,2485,-162,8,0,2026-09-19 00:39:29,23346.4
25300,2705,-257,9,0,2026-09-19 00:39:29,23346.4
25350,292,10,0,0,2026-09-19 00:39:29,23346.4
25400,2569,-537,31,0,2026-09-19 00:39:29,23346.4
25450,333,-16,8,0,2026-09-19 00:39:29,23346.4
25500,14037,-286,870,-77,2026-09-19 00:39:29,23346.4
25550,400,-154,1,0,2026-09-19 00:39:29,23346.4
25600,1911,512,3,-1,2026-09-19 00:39:29,23346.4
25650,425,13,8,0,2026-09-19 00:39:29,23346.4
25700,2655,1024,0,0,2026-09-19 00:39:29,23346.4
25750,745,464,0,0,2026-09-19 00:39:29,23346.4
25800,13311,-125,7,-2,2026-09-19 00:39:29,23346.4
25850,564,-8,0,0,2026-09-19 00:39:29,23346.4
25900,2126,30,0,0,2026-09-19 00:39:29,23346.4
25950,421,-36,0,0,2026-09-19 00:39:29,23346.4
26000,22283,-719,1057,-10,2026-09-19 00:39:29,23346.4
26050,1352,53,0,0,2026-09-19 00:39:29,23346.4
26100,9234,2027,0,0,2026-09-19 00:39:29,23346.4
21350,0,0,97418,9090,2026-09-19 00:39:34,23346.4
21400,0,0,56985,13922,2026-09-19 00:39:34,23346.4
21450,0,0,9629,4113,2026-09-19 00:39:34,23346.4
21500,0,0,71069,20416,2026-09-19 00:39:34,23346.4
21550,0,0,3794,-1084,2026-09-19 00:39:34,23346.4
21600,0,0,7655,-664,2026-09-19 00:39:34,23346.4
21650,0,0,14412,-5083,2026-09-19 00:39:34,23346.4
21700,24,0,44207,-29527,2026-09-19 00:39:34,23346.4
21750,0,0,5878,-854,2026-09-19 00:39:34,23346.4
21800,1,0,47518,3310,2026-09-19 00:39:34,23346.4
21850,0,0,6749,-293,2026-09-19 00:39:34,23346.4
21900,0,0,29561,-10500,2026-09-19 00:39:34,23346.4
21950,0,0,7906,-552,2026-09-19 00:39:34,23346.4
22000,346,24,165254,-2707,2026-09-19 00:39:34,23346.4
22050,5,0,11045,1891,2026-09-19 00:39:34,23346.4
22100,18,0,36435,7181,2026-09-19 00:39:34,23346.4
22150,4,0,17679,7686,2026-09-19 00:39:34,23346.4
22200,41,0,77030,18595,2026-09-19 00:39:34,23346.4
22250,8,0,15764,3820,2026-09-19 00:39:34,23346.4
22300,129,-6,79196,10678,2026-09-19 00:39:34,23346.4
22350,11,5,25312,-1141,2026-09-19 00:39:34,23346.4
22400,38,-5,65268,16396,2026-09-19 00:39:34,23346.4
22450,7,0,29996,16510,2026-09-19 00:39:34,23346.4
22500,1293,-99,138808,9944,2026-09-19 00:39:34,23346.4
22550,42,1,27813,11260,2026-09-19 00:39:34,23346.4
22600,627,-49,80699,8987,2026-09-19 00:39:34,23346.4
22650,261,4,26851,-7243,2026-09-19 00:39:34,23346.4
22700,808,-106,97030,4546,2026-09-19 00:39:34,23346.4
22750,529,28,63147,31086,2026-09-19 00:39:34,23346.4
22800,1835,243,110896,28096,2026-09-19 00:39:34,23346.4
22850,814,-72,48771,21055,2026-09-19 00:39:34,23346.4
22900,2101,175,76505,21241,2026-09-19 00:39:34,23346.4
22950,1346,262,56806,19718,2026-09-19 00:39:34,23346.4
23000,9566,-4374,169141,20638,2026-09-19 00:39:34,23346.4
23050,2370,-364,44163,-4114,2026-09-19 00:39:34,23346.4
23100,9145,-3513,98921,16436,2026-09-19 00:39:34,23346.4
23150,5379,-2435,60052,13578,2026-09-19 00:39:34,23346.4
23200,41008,-10176,147721,13890,2026-09-19 00:39:34,23346.4
23250,27873,-19579,99857,28054,2026-09-19 00:39:34,23346.4
23300,114149,12541,195178,90670,2026-09-19 00:39:34,23346.4
23350,76240,22675,79124,54729,2026-09-19 00:39:34,23346.4
23400,134896,34540,73651,27807,2026-09-19 00:39:34,23346.4
23450,59383,5887,10717,1280,2026-09-19 00:39:34,23346.4
23500,141941,3726,37004,2366,2026-09-19 00:39:34,23346.4
23550,56236,6188,4039,-305,2026-09-19 00:39:34,23346.4
23600,121677,19100,11381,-159,2026-09-19 00:39:34,23346.4
23650,62180,14840,3024,-474,2026-09-19 00:39:34,23346.4
23700,146088,29761,8258,-2637,2026-09-19 00:39:34,23346.4
23750,66211,7721,1564,-106,2026-09-19 00:39:34,23346.4
23800,126375,-2361,7058,-394,2026-09-19 00:39:34,23346.4
23850,45795,2444,1118,51,2026-09-19 00:39:34,23346.4
23900,89912,-14776,6721,-221,2026-09-19 00:39:34,23346.4
23950,36433,3896,1154,-46,2026-09-19 00:39:34,23346.4
24000,177824,19211,14177,-1883,2026-09-19 00:39:34,23346.4
24050,27715,-188,370,-6,2026-09-19 00:39:34,23346.4
24100,79443,25878,2124,-64,2026-09-19 00:39:34,23346.4
24150,37434,9645,371,-17,2026-09-19 00:39:34,23346.4
24200,97825,14611,2566,-175,2026-09-19 00:39:34,23346.4
24250,20010,-3443,379,-9,2026-09-19 00:39:34,23346.4
24300,63000,4411,1450,-46,2026-09-19 00:39:34,23346.4
24350,18463,2496,225,20,2026-09-19 00:39:34,23346.4
24400,44054,3219,1742,-57,2026-09-19 00:39:34,23346.4
24450,9727,1097,190,-1,2026-09-19 00:39:34,23346.4
24500,154620,-6149,4230,-228,2026-09-19 00:39:34,23346.4
24550,14001,821,367,-23,2026-09-19 00:39:34,23346.4
24600,35692,2168,710,-18,2026-09-19 00:39:34,23346.4
24650,6399,76,78,-5,2026-09-19 00:39:34,23346.4
24700,34998,-2155,89,-9,2026-09-19 00:39:34,23346.4
24750,2921,823,0,0,2026-09-19 00:39:34,23346.4
24800,42298,7483,355,-10,2026-09-19 00:39:34,23346.4
24850,7903,2058,0,0,2026-09-19 00:39:34,23346.4
24900,17229,-5866,146,-71,2026-09-19 00:39:34,23346.4
24950,3072,-639,0,0,2026-09-19 00:39:34,23346.4
25000,68387,3645,1012,-62,2026-09-19 00:39:34,23346.4
25050,2723,-1360,1,0,2026-09-19 00:39:34,23346.4
25100,13486,-1397,16,-1,2026-09-19 00:39:34,23346.4
25150,2943,219,5,0,2026-09-19 00:39:34,23346.4
25200,5407,-4310,60,-4,2026-09-19 00:39:34,23346.4
25250,2485,-162,8,0,2026-09-19 00:39:34,23346.4
25300,2705,-257,9,0,2026-09-19 00:39:34,23346.4
25350,292,10,0,0,2026-09-19 00:39:34,23346.4
25400,2569,-537,31,0,2026-09-19 00:39:34,23346.4
25450,333,-16,8,0,2026-09-19 00:39:34,23346.4
25500,14037,-286,870,-77,2026-09-19 00:39:34,23346.4
25550,400,-154,1,0,2026-09-19 00:39:34,23346.4
25600,1911,512,3,-1,2026-09-19 00:39:34,23346.4
25650,425,13,8,0,2026-09-19 00:39:34,23346.4
25700,2655,1024,0,0,2026-09-19 00:39:34,23346.4
25750,745,464,0,0,2026-09-19 00:39:34,23346.4
25800,13311,-125,7,-2,2026-09-19 00:39:34,23346.4
25850,564,-8,0,0,2026-09-19 00:39:34,23346.4
25900,2126,30,0,0,2026-09-19 00:39:34,23346.4
25950,421,-36,0,0,2026-09-19 00:39:34,23346.4
26000,22283,-719,1057,-10,2026-09-19 00:39:34,23346.4
26050,1352,53,0,0,2026-09-19 00:39:34,23346.4
26100,9234,2027,0,0,2026-09-19 00:39:34,23346.4
21350,0,0,97418,9090,2026-09-19 00:40:03,23346.4
21400,0,0,56985,13922,2026-09-19 00:40:03,23346.4
21450,0,0,9629,4113,2026-09-19 00:40:03,23346.4
21500,0,0,71069,20416,2026-09-19 00:40:03,23346.4
21550,0,0,3794,-1084,2026-09-19 00:40:03,23346.4
21600,0,0,7655,-664,2026-09-19 00:40:03,23346.4
21650,0,0,14412,-5083,2026-09-19 00:40:03,23346.4
21700,24,0,44207,-29527,2026-09-19 00:40:03,23346.4
